features,mean,sigma
889,-0.503702,1.92738
890,-0.494303,1.91267
891,-0.214612,1.97983
892,-0.349695,1.9499
893,-0.260334,1.87303
894,-0.373897,1.95975
895,-0.422767,1.95871
896,-0.4077,1.99422
897,-0.322996,1.93266
898,-0.268803,1.9502
899,-0.465567,1.94393
900,-0.452525,1.88883
901,-0.346122,1.94037
902,-0.515084,1.97437
903,-0.63326,1.93705
904,-0.396811,1.92491
905,-0.294603,1.92845
906,-0.40675,1.95321
907,-0.320167,2.05632
908,-0.426941,2.00239
909,-0.458853,1.95544
910,-0.569133,1.99436
911,-0.446697,2.00077
912,-0.464794,1.94749
913,-0.553363,2.00537
914,-0.522142,1.93023
915,-0.401778,2.01857
916,-0.336432,2.00796
917,-0.535702,1.98581
918,-0.386033,1.94741
919,-0.6351,1.96977
920,-0.660774,2.05194
921,-0.568876,2.02734
922,-0.370768,2.00543
923,-0.466123,2.00988
924,-0.33565,2.08211
925,-0.520535,2.01657
926,-0.536718,2.05359
927,-0.656309,2.06298
928,-0.51057,2.02645
929,-0.461534,2.03121
930,-0.460877,1.97444
931,-0.521739,2.0532
932,-0.840547,2.0251
933,-0.667162,2.03607
934,-0.447037,2.01391
935,-0.665676,2.07225
936,-0.445069,2.08434
937,-0.689224,2.08349
938,-0.651154,2.142
939,-0.627964,2.06031
940,-0.736751,2.10438
941,-0.312734,2.02445
942,-0.63764,2.04031
943,-0.75649,2.06928
944,-0.445038,2.08665
945,-0.479013,2.14955
946,-0.5709,2.13864
947,-0.638772,2.10317
948,-0.659646,2.12828
949,-0.678867,2.0975
950,-0.766185,2.08765
951,-0.832793,2.11121
952,-0.811239,2.19027
953,-0.543359,2.11825
954,-0.374771,2.14505
955,-0.922141,2.17246
956,-0.810704,2.18803
957,-0.858963,2.17394
958,-0.53024,2.11896
959,-0.908593,2.20625
960,-0.773641,2.20729
961,-0.902564,2.22321
962,-0.657366,2.10453
963,-0.759956,2.12316
964,-0.626423,2.174
965,-0.738027,2.17351
966,-0.810035,2.23316
967,-0.786275,2.15267
968,-0.87294,2.20142
969,-0.775488,2.14094
970,-0.958942,2.16444
971,-1.11228,2.16724
972,-0.892112,2.2754
973,-0.886523,2.24876
974,-0.693916,2.15397
975,-0.746958,2.23953
976,-0.752163,2.23722
977,-0.892519,2.23253
978,-0.786003,2.25495
979,-0.962238,2.24043
980,-0.950153,2.19319
981,-0.66146,2.23785
982,-0.878696,2.30699
983,-0.429723,2.19057
984,-0.908292,2.2364
985,-0.604535,2.18883
986,-0.574679,2.22131
987,-0.57826,2.23034
988,-0.558926,2.30064
989,-0.811305,2.24422
990,-0.68668,2.35303
991,-0.817984,2.26411
992,-0.433665,2.33608
993,-0.688051,2.32254
994,-0.735965,2.28335
995,-0.978429,2.3551
996,-0.946585,2.28712
997,-1.03607,2.35082
998,-0.662049,2.30373
999,-0.991494,2.48226
