distance,delta
0.213904,-0.0107795
0.191138,-0.0192627
0.118241,0.00675862
0.428692,-0.00681671
0.244683,-0.0024954
0.704871,0.0138793
0.600166,-0.010322
0.356367,-0.00480418
0.304124,0.00837639
0.187796,-0.0159207
0.337279,-0.00915409
1.12941,-0.0200333
0.249004,-0.0146288
0.105252,-0.00368998
0.419246,-0.0208087
0.310414,0.00208552
0.315301,-0.00280083
0.155641,0.000608769
0.386932,-0.00411955
0.114613,-0.00523786
0.0347379,0.00432464
0.227041,0.00342756
0.136088,-0.00327551
0.192637,0.00658131
0.433196,-0.0113214
0.0927853,-0.0146603
0.252259,-0.0100712
0.4125,-0.0140626
0.139574,0.00105116
0.306535,0.00596491
0.219865,0.00669707
0.454557,-0.00143164
0.376594,-0.00940674
0.218606,0.000144002
0.100046,0.00151655
0.457626,-0.0201263
0.141675,-0.0166745
0.230325,0.00404991
0.344736,-0.000986234
0.0764261,0.00169893
0.69361,-0.0217349
0.0553741,-0.00849907
0.354092,-0.00252939
0.301479,-0.00460382
0.475622,0.000940368
0.78561,-0.0121728
0.428734,0.00876596
0.233008,0.00527293
0.380095,0.00271718
0.161024,-0.0125865
0.346396,0.00516624
0.676136,-0.00426133
0.136401,0.00422415
0.309476,-0.000882595
0.248536,-0.0219737
0.36456,-0.0129973
0.250776,-0.000775975
0.206461,0.0122886
0.162593,-0.00634267
0.117983,0.00701672
0.51674,-0.00892782
0.510257,-0.00244491
0.405507,0.00855583
0.0889048,-0.00296726
0.165474,-0.00922408
0.259303,0.00632207
0.375429,-0.00042892
0.153936,0.0179393
0.131602,0.00121063
0.172238,-0.000363406
0.526105,-0.0182924
0.229102,-0.0103521
0.160932,0.00313087
0.219345,0.0150299
0.120218,-0.0186551
0.350611,-0.0146736
0.0426359,-0.0113859
0.283501,-0.0100636
0.14554,-0.00491474
0.23002,-0.00345793
0.0860722,-0.0157597
0.585709,-0.0153968
0.256974,-0.00697432
0.284699,-0.0112615
0.330056,-0.00193122
0.122142,-0.0127665
0.296362,0.00832559
0.777512,-0.00407475
0.154988,0.00907454
0.126607,-0.00941986
0.367179,-0.0156165
0.151171,-0.0105464
0.251108,0.00670454
0.223811,0.00275158
0.29931,0.0131904
0.138117,0.0103204
0.126098,0.00671435
0.510096,-0.0179086
0.144466,0.0117842
0.462015,-0.0167022
0.18804,0.00727262
0.47684,-0.000277878
0.100556,0.00881893
0.387983,0.0182668
0.271002,0.00243582
0.0836595,0.00227804
0.491249,-0.00687384
0.107206,0.00216894
0.12634,-0.00134042
0.489794,0.00239345
0.382345,0.00828043
0.382388,-0.0152006
0.137355,-0.0045424
0.117032,0.00796791
0.831407,-0.00328225
0.931253,-0.0132844
0.269103,-0.00738432
0.336882,-0.000944751
0.335977,-0.00785238
0.554814,-0.0079389
0.413506,0.000556072
0.423506,-0.00944361
0.545023,0.00185157
0.35478,0.00459548
0.108793,0.00839433
0.227565,-0.00881452
0.0346991,0.00436344
0.324068,0.000151245
0.358727,-0.0149765
0.244206,-0.00592483
0.321199,-0.00869943
0.171794,8.12354e-05
0.160536,0.00352637
0.440083,-0.00258278
0.165367,-0.00130446
0.492042,0.000145684
0.267038,-0.0170382
0.502529,0.00528366
0.137513,-0.0125135
0.0455525,-0.00649
0.0906041,0.00314594
0.285356,-0.00410632
0.399538,-0.0167259
0.185615,-0.00202116
0.284368,-0.0109303
0.38395,-0.00113755
